WDPA_PID,WDPAID,NAME,ISO3,IUCN_CAT,MARINE,GIS_M_AREA
13395_B,13395,Seymour Island Migratory Bird Sanctuary,CAN,Ia,2,51.2377566263864
13400_B,13400,Qaqsauqtuuq Migratory Bird Sanctuary,CAN,Ib,2,269.875015430617
13401_B,13401,Ikattuaq Migratory Bird Sanctuary,CAN,Ib,2,182.304149252184
13402,13402,McConnell River Migratory Bird Sanctuary,CAN,Ia,2,120.364868788122
15136,15136,Pelong Rocks Wildlife Sanctuary,BRN,Ia,2,0.060468279897469
15137,15137,Pulau Punyut Wildlife Sanctuary,BRN,Ia,2,0.264597182271651
17753,17753,Danshuei River Mangrove,TWN,Ia,1,0.138876025233131
17838,17838,Kepulauan Karimata,IDN,Ib,1,1873.31277756136
17994,17994,Pulau Sangiang,IDN,Ia,1,6.20880219318432
18043,18043,Pulau Siarau Nature Reserve,BRN,Ia,1,1.06993638575779
18136_A,18136,Funk Island Ecological Reserve,CAN,Ia,2,0.186841098187583
18137_A,18137,Gannet Islands Ecological Reserve,CAN,Ia,1,0.350174640938501
18178_B,18178,Port Joli Migratory Bird Sanctuary,CAN,Ia,1,2.81494478227213
18179,18179,Portage Island National Wildlife Area,CAN,Ia,1,0.714361550923205
18311_B,18311,ANNE VALLEE (TRIANGLE ISLAND) ECOLOGICAL RESERVE,CAN,Ia,2,8.14011182134248
18314_A,18314,BAERIA ROCKS ECOLOGICAL RESERVE,CAN,Ia,1,0.003862554858994
18314,18314,BAERIA ROCKS ECOLOGICAL RESERVE,CAN,Ia,2,1.37699898211779
18317_B,18317,BERESFORD ISLAND ECOLOGICAL RESERVE,CAN,Ia,2,4.06784148011942
18325_A,18325,BYERS/CONROY/HARVEY/SINNETT ISLANDS ECOLOGICAL RESERVE,CAN,Ia,1,0.24366546007703
18325_B,18325,BYERS/CONROY/HARVEY/SINNETT ISLANDS ECOLOGICAL RESERVE,CAN,Ia,2,116.37077310434
18327,18327,CANOE ISLETS ECOLOGICAL RESERVE,CAN,Ia,2,0.010251765517846
18332_A,18332,CHECLESET BAY ECOLOGICAL RESERVE,CAN,Ia,1,0.647224051835884
18332_B,18332,CHECLESET BAY ECOLOGICAL RESERVE,CAN,Ia,2,326.994693478909
18394_B,18394,OAK BAY ISLANDS ECOLOGICAL RESERVE,CAN,Ia,2,2.14822601935892
18394_A,18394,OAK BAY ISLANDS ECOLOGICAL RESERVE,CAN,Ia,1,0.034984907992839
18398_A,18398,RACE ROCKS ECOLOGICAL RESERVE,CAN,Ia,1,0.004556786212322
18398_B,18398,RACE ROCKS ECOLOGICAL RESERVE,CAN,Ia,2,2.24097941666141
18401_A,18401,ROBSON BIGHT (MICHAEL BIGG) ECOLOGICAL RESERVE,CAN,Ia,2,12.2371907545697
18402,18402,ROSE ISLETS ECOLOGICAL RESERVE,CAN,Ia,1,0.010593513047831
18403,18403,ROSE SPIT ECOLOGICAL RESERVE,CAN,Ia,1,0.205004909240845
18406_A,18406,SARTINE ISLAND ECOLOGICAL RESERVE,CAN,Ia,1,0.048249824652664
18406_B,18406,SARTINE ISLAND ECOLOGICAL RESERVE,CAN,Ia,2,10.5570949427226
18407,18407,SATELLITE CHANNEL ECOLOGICAL RESERVE,CAN,Ia,2,3.40190184784563
