epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2738.89,1.59077,0.99686,1.19669,0.7793,0.72698,0.76315,0.33281,1.64677,1.1064,1.25738,0.000581,0.000581,0.000581
45,2801.52,1.57837,1.02657,1.19875,0.78157,0.73599,0.77929,0.34042,1.63485,1.08797,1.24876,0.000548,0.000548,0.000548
46,2861.72,1.57434,1.01048,1.20359,0.77256,0.75932,0.77443,0.32817,1.64585,1.0892,1.24988,0.000515,0.000515,0.000515
47,2922.22,1.57789,1.00242,1.20898,0.78911,0.75897,0.78598,0.3462,1.63273,1.07008,1.24686,0.000482,0.000482,0.000482
48,2982.47,1.58696,1.02847,1.19567,0.80342,0.75053,0.78909,0.34797,1.62006,1.10666,1.23974,0.000449,0.000449,0.000449
49,3042.54,1.57525,0.99931,1.19407,0.77199,0.76066,0.77433,0.34186,1.62314,1.06359,1.24398,0.000416,0.000416,0.000416
50,3102.95,1.5637,0.99599,1.18625,0.7745,0.76096,0.77325,0.3362,1.62334,1.10524,1.2348,0.000383,0.000383,0.000383
51,3163.28,1.56841,0.98097,1.18185,0.78872,0.7315,0.77114,0.33456,1.63349,1.12526,1.24363,0.00035,0.00035,0.00035
52,3223.78,1.57623,0.99706,1.17685,0.79227,0.76792,0.79374,0.35201,1.59867,1.07345,1.23201,0.000317,0.000317,0.000317
53,3284.31,1.53643,0.95643,1.1749,0.79516,0.76238,0.79704,0.35395,1.6172,1.05138,1.23567,0.000284,0.000284,0.000284
54,3344.29,1.53945,0.97733,1.17789,0.79884,0.74548,0.78805,0.35237,1.60129,1.06762,1.23597,0.000251,0.000251,0.000251
55,3409.36,1.55056,0.96938,1.18355,0.79632,0.7743,0.79582,0.35497,1.60765,1.03975,1.23594,0.000218,0.000218,0.000218
56,3472.99,1.54919,0.94717,1.15898,0.80215,0.7618,0.79759,0.35453,1.60785,1.03448,1.2369,0.000185,0.000185,0.000185
57,3535.09,1.5348,0.94788,1.16708,0.79282,0.76521,0.78915,0.35065,1.60331,1.04493,1.23344,0.000152,0.000152,0.000152
58,3598.07,1.53089,0.94386,1.16512,0.79116,0.76333,0.78524,0.34725,1.60527,1.07379,1.2302,0.000119,0.000119,0.000119
59,3660.63,1.53449,0.94718,1.17196,0.79044,0.7511,0.78565,0.34636,1.60755,1.05692,1.22844,8.6e-05,8.6e-05,8.6e-05
60,3722.49,1.52389,0.95434,1.17276,0.80786,0.766,0.80291,0.35907,1.59342,1.04431,1.22619,5.3e-05,5.3e-05,5.3e-05
