epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.41153,3.82657,22.5081,3.71744,0,0,0,0,4.95107,63.3977,3.56249,0.00044,0.00044,0.00044
2,10.0423,4.03305,17.472,3.83011,0,0,0,0,4.95344,62.3726,3.56213,0.0008703,0.0008703,0.0008703
3,13.3914,4.17428,13.7842,4.02884,0,0,0,0,4.87097,61.439,3.50817,0.00127024,0.00127024,0.00127024
4,16.8516,3.77702,17.5008,3.9946,0.00048,0.05645,3e-05,1e-05,3.92037,59.2132,3.11841,0.00163982,0.00163982,0.00163982
5,20.301,3.37157,13.7836,3.48052,0.00265,0.31452,0.02024,0.00491,3.64186,50.7123,2.92269,0.001736,0.001736,0.001736
6,23.696,3.55802,13.7371,3.44692,0.16456,0.05645,0.04944,0.01128,3.11585,42.3369,2.71692,0.00167,0.00167,0.00167
7,27.0842,3.27642,16.5898,2.93411,0.14593,0.15323,0.06512,0.01669,2.72379,42.5652,2.64085,0.001604,0.001604,0.001604
8,30.4794,2.97063,15.3498,3.07257,0.19755,0.24194,0.10925,0.02471,2.66883,42.9151,2.56,0.001538,0.001538,0.001538
9,33.8493,3.20022,10.2071,3.20321,0.30372,0.29032,0.19161,0.04723,2.56922,42.9314,2.43442,0.001472,0.001472,0.001472
10,37.2046,2.94715,11.2918,2.88651,0.30399,0.29839,0.1717,0.04952,2.5071,40.5543,2.34646,0.001406,0.001406,0.001406
11,40.5411,3.28882,8.02471,3.06856,0.35739,0.27419,0.19873,0.0555,2.44138,41.2233,2.30209,0.00134,0.00134,0.00134
12,43.8858,2.7563,8.67078,2.81403,0.31231,0.26613,0.22341,0.07844,2.37587,36.5689,2.27572,0.001274,0.001274,0.001274
13,47.3294,2.89685,8.03907,2.87599,0.25055,0.37206,0.20095,0.0526,2.40655,33.2212,2.298,0.001208,0.001208,0.001208
14,50.7269,2.98032,6.84019,3.0337,0.18,0.45968,0.1593,0.04778,2.40513,33.8347,2.27654,0.001142,0.001142,0.001142
15,54.0605,2.68613,17.0696,2.49056,0.26195,0.27419,0.19758,0.06275,2.43748,34.4607,2.25339,0.001076,0.001076,0.001076
16,75.5323,2.69476,14.0527,2.76434,0.30184,0.37097,0.2195,0.06896,2.40027,32.7081,2.25206,0.00101,0.00101,0.00101
17,78.7802,2.20254,19.4026,2.4304,0.30408,0.41933,0.24455,0.07617,2.35978,29.7264,2.22068,0.000944,0.000944,0.000944
18,82.1106,2.57453,12.6078,2.73138,0.272,0.39516,0.23609,0.07168,2.33748,30.7616,2.23717,0.000878,0.000878,0.000878
19,85.4667,2.34473,14.9654,2.42578,0.24026,0.37903,0.23848,0.07436,2.38806,32.0794,2.23796,0.000812,0.000812,0.000812
20,88.7695,2.392,16.867,2.40168,0.33925,0.43548,0.29133,0.08598,2.35451,30.6778,2.18764,0.000746,0.000746,0.000746
21,92.0599,2.62855,8.45425,2.79156,0.33375,0.44355,0.29518,0.09039,2.32479,30.1271,2.17871,0.00068,0.00068,0.00068
22,95.5086,2.52988,15.5931,2.57533,0.38325,0.35484,0.32411,0.10573,2.24103,30.6866,2.11352,0.000614,0.000614,0.000614
23,99.103,2.48832,13.3197,2.64445,0.37536,0.37097,0.32507,0.10136,2.23837,29.757,2.09991,0.000548,0.000548,0.000548
24,102.497,2.36752,14.393,2.37786,0.33849,0.37903,0.30789,0.09306,2.24494,28.309,2.09829,0.000482,0.000482,0.000482
25,105.744,2.55874,10.795,2.5154,0.38377,0.37097,0.30661,0.08961,2.2746,28.2987,2.10675,0.000416,0.000416,0.000416
26,109.039,2.35384,14.5139,2.34928,0.39206,0.41607,0.29807,0.09227,2.30321,28,2.11074,0.00035,0.00035,0.00035
27,112.297,2.28263,15.1894,2.4085,0.36593,0.43548,0.30877,0.09649,2.28703,28.0551,2.10396,0.000284,0.000284,0.000284
28,115.539,2.24452,16.0929,2.23852,0.37548,0.41935,0.30707,0.10182,2.28543,27.8875,2.1036,0.000218,0.000218,0.000218
29,118.911,2.5334,10.5388,2.53981,0.38451,0.44355,0.33346,0.10705,2.26643,27.4064,2.08484,0.000152,0.000152,0.000152
30,122.166,2.50556,12.9959,2.34298,0.37865,0.44355,0.32836,0.10928,2.23863,27.7791,2.07346,8.6e-05,8.6e-05,8.6e-05
