epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.73,1.04237,0.62177,0.9812,0.83836,0.71138,0.77063,0.52101,0.96997,0.64219,1.02089,0.00027,0.00027,0.07327
2,82096.6,1.0571,0.65939,0.96208,0.84409,0.71545,0.77873,0.52356,0.97137,0.65056,1.02253,0.0004411,0.0004411,0.0454411
3,82297.5,0.96448,0.58748,0.97252,0.83608,0.71951,0.77189,0.52134,0.9749,0.64651,1.02161,0.00050132,0.00050132,0.0175013
4,82416,1.03134,0.59436,0.93966,0.84573,0.73542,0.77314,0.52501,0.97177,0.63648,1.01912,0.000406,0.000406,0.000406
5,82534.6,1.0395,0.59458,0.96915,0.82092,0.71951,0.76771,0.52784,0.96551,0.63921,1.01661,0.000208,0.000208,0.000208
